epoch,acc,loss,val_acc,val_loss
43,0.607,28.193845707702636,0.6128,27.68362500076294
44,0.6144,27.15139190826416,0.6248,26.669578873443605
45,0.6182,26.16311856842041,0.633,25.693151611328126
46,0.6286,25.213580522155763,0.6402,24.757267203521728
47,0.6378,24.308632251739503,0.6512,23.855975733947755
48,0.6468,23.414809159851075,0.6572,22.99057227859497
49,0.6586,22.579234326934813,0.6648,22.159996875
50,0.6622,21.76429652404785,0.6726,21.363677085113526
51,0.6684,20.99301379776001,0.675,20.600835749816895
52,0.677,20.2574436088562,0.6814,19.869104936981202
53,0.6864,19.5373321182251,0.6838,19.170008059692382
54,0.6902,18.857214292144775,0.6894,18.500070264434815
55,0.6946,18.212939122772216,0.6958,17.855035163879396
56,0.7004,17.587494541931154,0.6986,17.238210734558105
57,0.7058,16.98137644805908,0.7014,16.649412750244142
58,0.7082,16.40251643218994,0.7048,16.085574181365967
59,0.7098,15.855418435668945,0.7074,15.546069376373291
60,0.713,15.322109230041503,0.712,15.029539251708984
61,0.7156,14.819910363769532,0.7134,14.534934593963623
62,0.7158,14.336820595550536,0.7148,14.063643786621094
63,0.7176,13.876987818908692,0.7148,13.60996519432068
64,0.7182,13.424546437072754,0.7162,13.175976613616943
65,0.7184,13.002260062408448,0.7172,12.760420933151245
66,0.7186,12.596399635314942,0.7192,12.362145122146606
67,0.7186,12.203703578948975,0.72,11.980523023223878
68,0.7178,11.831200635528564,0.7204,11.613605975723267
69,0.719,11.476213422775269,0.72,11.262170719146729
70,0.7186,11.126474419784547,0.7202,10.922986092376709
71,0.7186,10.794510632705688,0.7198,10.598227810668945
72,0.7194,10.474331425857544,0.7196,10.28574319419861
73,0.7192,10.171648846054078,0.7196,9.984434087371826
74,0.7194,9.873957260513306,0.72,9.694639743423462
75,0.7196,9.589836392211915,0.7198,9.415112180709839
76,0.7196,9.311738927459716,0.7202,9.145150551986694
77,0.72,9.045880448150635,0.7204,8.885436274337769
78,0.72,8.787792938995361,0.7206,8.63354069328308
79,0.72,8.540612644958497,0.7206,8.390903425216674
80,0.7202,8.299346363830566,0.7208,8.156590044784545
81,0.7202,8.0679304813385,0.7204,7.930353271484375
82,0.7204,7.843542924499512,0.7204,7.710496917724609
83,0.7204,7.624633092880249,0.7202,7.49789016494751
84,0.7204,7.411769636535644,0.7202,7.292003998565674
85,0.7204,7.209446992874145,0.7202,7.0924872844696045
86,0.7202,7.013026466369629,0.7202,6.899772966766357
87,0.7202,6.820650101089478,0.7202,6.712014990997314
88,0.7202,6.633093181610107,0.72,6.5300526023864744
89,0.7202,6.450932386398315,0.72,6.352478567123413
90,0.7202,6.273837281799317,0.72,6.180193537521363
91,0.7202,6.102598873138428,0.72,6.012115193557739
92,0.72,5.9336944103240965,0.72,5.8477140884399414
93,0.72,5.771948706436158,0.72,5.687450098037719
94,0.72,5.609538344192505,0.72,5.530986131286621
95,0.72,5.456609885406494,0.72,5.378432649230957
96,0.72,5.304319451713562,0.72,5.229420409011841
97,0.72,5.154486722946167,0.72,5.083540127563476
98,0.72,5.009271327972412,0.72,4.940678290939331
99,0.72,4.8663787937164305,0.72,4.80102099647522
100,0.72,4.727604206466675,0.72,4.663744583892822
101,0.72,4.592697790527343,0.72,4.528786347579956
102,0.72,4.457821189880371,0.72,4.39597866897583
103,0.72,4.321602235031128,0.72,4.265022598457336
104,0.72,4.1903429676055906,0.72,4.13700197315216
105,0.72,4.060362908172608,0.72,4.010628532409668
106,0.72,3.9320713592529297,0.72,3.886428268623352
107,0.72,3.805349147796631,0.72,3.7638270389556885
108,0.72,3.6828250352859495,0.72,3.643791690826416
109,0.72,3.5619231071472166,0.72,3.52568745803833
110,0.72,3.4432749519348143,0.72,3.4109665906906126
111,0.72,3.3314944595336913,0.72,3.2998449283599856
112,0.72,3.219492315673828,0.72,3.1907903303146363
113,0.72,3.1094285957336427,0.72,3.0846764499664308
114,0.72,3.002030270385742,0.72,2.980174291229248
115,0.72,2.8975803718566895,0.72,2.879148803138733
116,0.72,2.7987972188949586,0.72,2.780668897628784
117,0.72,2.702242831993103,0.72,2.6849445442199706
118,0.72,2.6071817266464232,0.72,2.592285231971741
119,0.72,2.516537496757507,0.72,2.5034314794540404
120,0.72,2.430344041442871,0.72,2.418466837501526
121,0.72,2.346802502441406,0.72,2.336571318054199
122,0.72,2.269128255081177,0.72,2.2582682811737063
123,0.72,2.1944147109985352,0.72,2.1825796730041502
124,0.72,2.1220278732299804,0.72,2.110860443878174
125,0.72,2.0531413997650145,0.72,2.0420071392059325
126,0.72,1.9884018434524535,0.72,1.9763424268722534
127,0.72,1.9257612464904785,0.72,1.9142854047775268
128,0.72,1.866800980758667,0.72,1.8559901470184326
129,0.72,1.8102078119277953,0.72,1.8017824573516845
130,0.72,1.7575233350753785,0.72,1.750851328086853
131,0.72,1.7076281579971313,0.72,1.7025360273361205
132,0.72,1.660903862953186,0.72,1.6569908477783204
